metric,method,group_type,group,value
pointing_game_score,drise,class,A,0.8915126625598905
pointing_game_score,drise,class,B,0.8257956448911222
pointing_game_score,drise,class,E,0.8734177215189873
pointing_game_score,drise,class,G,0.9220125786163522
pointing_game_score,drise,bit_depth,16bit,0.8821279554937413
pointing_game_score,drise,bit_depth,8bit,0.8984838497033619
pointing_game_score,gradcam,class,A,0.2032854209445585
pointing_game_score,gradcam,class,B,0.35175879396984927
pointing_game_score,gradcam,class,E,0.7215189873417721
pointing_game_score,gradcam,class,G,0.09811320754716982
pointing_game_score,gradcam,bit_depth,16bit,0.2336578581363004
pointing_game_score,gradcam,bit_depth,8bit,0.17600527356624918
pointing_game_score,rollout,class,A,0.9065708418891171
pointing_game_score,rollout,class,B,0.8425460636515912
pointing_game_score,rollout,class,E,0.9493670886075949
pointing_game_score,rollout,class,G,0.8905660377358491
pointing_game_score,rollout,bit_depth,16bit,0.8863004172461753
pointing_game_score,rollout,bit_depth,8bit,0.9136453526697429
mean_mass_ratio,drise,class,A,0.015033789944505847
mean_mass_ratio,drise,class,B,0.021106799297040315
mean_mass_ratio,drise,class,E,0.055765182006222165
mean_mass_ratio,drise,class,G,0.013259612089750614
mean_mass_ratio,drise,bit_depth,16bit,0.017369594413818783
mean_mass_ratio,drise,bit_depth,8bit,0.014186803463335285
mean_mass_ratio,gradcam,class,A,0.02686149288852858
mean_mass_ratio,gradcam,class,B,0.037198563586227466
mean_mass_ratio,gradcam,class,E,0.11627622300639023
mean_mass_ratio,gradcam,class,G,0.019456366028182435
mean_mass_ratio,gradcam,bit_depth,16bit,0.031092485251195342
mean_mass_ratio,gradcam,bit_depth,8bit,0.023683895655062872
mean_mass_ratio,rollout,class,A,0.7032609574842287
mean_mass_ratio,rollout,class,B,0.7381670258853286
mean_mass_ratio,rollout,class,E,0.8669571820232561
mean_mass_ratio,rollout,class,G,0.7218088474187797
mean_mass_ratio,rollout,bit_depth,16bit,0.7116826770669922
mean_mass_ratio,rollout,bit_depth,8bit,0.7192765353035958
mean_iou,drise,class,A,0.2288367132610699
mean_iou,drise,class,B,0.17842740986173708
mean_iou,drise,class,E,0.18980234303602397
mean_iou,drise,class,G,0.2895685451275907
mean_iou,drise,bit_depth,16bit,0.21954389294676951
mean_iou,drise,bit_depth,8bit,0.2564107990755931
mean_iou,gradcam,class,A,0.04835732554262141
mean_iou,gradcam,class,B,0.060918970914691006
mean_iou,gradcam,class,E,0.2639007332732567
mean_iou,gradcam,class,G,0.023302365547234288
mean_iou,gradcam,bit_depth,16bit,0.05557381198227012
mean_iou,gradcam,bit_depth,8bit,0.03771389990061962
mean_iou,rollout,class,A,0.45847731819036813
mean_iou,rollout,class,B,0.36018995990820635
mean_iou,rollout,class,E,0.16628058264682805
mean_iou,rollout,class,G,0.48545256562665423
mean_iou,rollout,bit_depth,16bit,0.4370074542288826
mean_iou,rollout,bit_depth,8bit,0.45942099351185106
