group,group_value,method,n,pg,ebpg,iou,pg_percent,ebpg_percent,iou_percent
overall,Total,Grad-CAM,4393,0.21374914636922376,0.028534135623054527,0.04940639151390127,21.374914636922377,2.8534135623054526,4.940639151390127
overall,Total,Attention Rollout,4393,0.8957432278625085,0.7143050041657693,0.44474734475751065,89.57432278625085,71.43050041657692,44.47473447575106
overall,Total,D-RISE,4393,0.8923287047575689,0.01627241657551834,0.23427613182255475,89.23287047575688,1.627241657551834,23.427613182255474
modality,CT,Grad-CAM,2876,0.2336578581363004,0.03109248509635092,0.05557381494135201,23.36578581363004,3.109248509635092,5.557381494135201
modality,CT,Attention Rollout,2876,0.8863004172461753,0.7116826770669922,0.43700745422888254,88.63004172461753,71.16826770669921,43.700745422888254
modality,CT,D-RISE,2876,0.8824756606397774,0.017376395462433535,0.22267024858033574,88.24756606397774,1.7376395462433536,22.267024858033572
modality,PET/CT,Grad-CAM,1517,0.17600527356624918,0.023683896278822204,0.03771389990061958,17.600527356624916,2.3683896278822205,3.7713899900619583
modality,PET/CT,Attention Rollout,1517,0.9136453526697429,0.7192765353035958,0.459420993511851,91.36453526697429,71.92765353035958,45.9420993511851
modality,PET/CT,D-RISE,1517,0.9110085695451549,0.014179441441195258,0.2562791115223714,91.10085695451548,1.4179441441195257,25.627911152237136
cancer_type,A,Grad-CAM,2922,0.2032854209445585,0.026861493299212294,0.04835732845511952,20.32854209445585,2.6861493299212293,4.835732845511952
cancer_type,A,Attention Rollout,2922,0.9065708418891171,0.7032609574842287,0.4584773181903681,90.65708418891171,70.32609574842287,45.84773181903681
cancer_type,A,D-RISE,2922,0.8963039014373717,0.015035704709459254,0.2303732213079819,89.63039014373717,1.5035704709459254,23.03732213079819
cancer_type,B,Grad-CAM,597,0.35175879396984927,0.03719856455339426,0.060918970914690965,35.175879396984925,3.7198564553394258,6.091897091469097
cancer_type,B,Attention Rollout,597,0.8425460636515912,0.7381670258853285,0.36018995990820635,84.25460636515912,73.81670258853285,36.018995990820635
cancer_type,B,D-RISE,597,0.8358458961474037,0.021127180303458167,0.19260345062199688,83.58458961474037,2.1127180303458166,19.260345062199686
cancer_type,E,Grad-CAM,79,0.7215189873417721,0.11627622347263461,0.26390073327325664,72.15189873417721,11.627622347263461,26.390073327325663
cancer_type,E,Attention Rollout,79,0.9493670886075949,0.866957182023256,0.166280582646828,94.9367088607595,86.6957182023256,16.6280582646828
cancer_type,E,D-RISE,79,0.8987341772151899,0.05572870086321744,0.1967720263128835,89.87341772151899,5.572870086321744,19.677202631288353
cancer_type,G,Grad-CAM,795,0.09811320754716982,0.019456364376183265,0.023302365547234243,9.811320754716983,1.9456364376183266,2.3302365547234243
cancer_type,G,Attention Rollout,795,0.8905660377358491,0.7218088474187797,0.48545256562665423,89.05660377358491,72.18088474187797,48.54525656266542
cancer_type,G,D-RISE,795,0.919496855345912,0.013251450120570343,0.2836418167729683,91.9496855345912,1.3251450120570343,28.36418167729683
